City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Dunedin,NZ,2021-07-11 18:57:11,-45.8742,170.5036,42.8,57,61,5.01
68,Torbay,CA,2021-07-11 18:56:32,47.6666,-52.7314,62.28,96,90,2.3
69,Cabedelo,BR,2021-07-11 18:57:10,-6.9811,-34.8339,83.07,74,0,15.61
70,Mahebourg,MU,2021-07-11 18:57:36,-20.4081,57.7,70.25,78,75,16.11
71,Adrar,MR,2021-07-11 19:00:59,20.5022,-10.0711,96.91,25,0,8.43
72,Victoria Point,AU,2021-07-11 19:01:00,-27.5833,153.3,55.38,88,5,1.01
73,Batemans Bay,AU,2021-07-11 18:57:18,-35.7167,150.1833,47.19,91,100,4.25
74,Hedaru,TZ,2021-07-11 19:01:00,-4.5,37.9,68.14,76,96,6.11
75,Saint-Joseph,RE,2021-07-11 18:56:26,-21.3667,55.6167,68.36,77,47,13.04
76,Temyasovo,RU,2021-07-11 19:01:01,52.9933,58.1014,57.56,96,21,7.74
77,Chapais,CA,2021-07-11 18:57:30,49.7834,-74.8492,69.58,29,1,7.43
78,Barrow,US,2021-07-11 18:56:38,71.2906,-156.7887,34.75,79,98,13.11
79,Nanortalik,GL,2021-07-11 18:56:27,60.1432,-45.2371,41.92,99,100,6.89
80,Huaibei,CN,2021-07-11 19:01:02,33.9744,116.7917,81.19,83,100,9.75
81,Birao,CF,2021-07-11 19:01:02,10.2849,22.7882,73.22,82,99,3.33
82,Meulaboh,ID,2021-07-11 18:58:41,4.1363,96.1285,74.08,90,98,5.14
83,Naples,IT,2021-07-11 19:01:03,40.8333,14.25,80.74,64,0,3.0
84,New Norfolk,AU,2021-07-11 18:56:40,-42.7826,147.0587,40.91,85,100,2.89
85,Kruisfontein,ZA,2021-07-11 18:56:54,-34.0033,24.7314,49.89,58,0,3.29
86,Khatanga,RU,2021-07-11 18:57:35,71.9667,102.5,43.12,55,94,5.55
87,Nouadhibou,MR,2021-07-11 19:01:04,20.931,-17.0347,66.97,95,96,15.57
