City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Wamba,NG,8.9333,8.6,76.48,75,88,3.09,overcast clouds
243,Abbeville,FR,50.1,1.8333,77.27,75,0,11.21,clear sky
244,Kushmurun,KZ,52.4503,64.6311,63.43,90,27,7.7,scattered clouds
245,Makokou,GA,0.5738,12.8642,78.67,60,82,2.46,broken clouds
246,Kruisfontein,ZA,-34.0033,24.7314,48.88,78,0,5.75,clear sky
247,Talara,PE,-4.5772,-81.2719,77.76,65,0,23.02,clear sky
248,Cap Malheureux,MU,-19.9842,57.6142,72.09,82,31,3.0,light rain
249,Cascais,PT,38.6979,-9.4215,87.66,39,0,4.0,clear sky
250,Ilulissat,GL,69.2167,-51.1,46.44,61,98,1.5,overcast clouds
251,Tautira,PF,-17.7333,-149.15,75.22,71,61,21.3,broken clouds
252,Provideniya,RU,64.3833,-173.3,45.93,97,100,6.46,overcast clouds
253,Egvekinot,RU,66.3167,-179.1667,43.12,96,100,4.72,overcast clouds
254,Ramshir,IR,30.8946,49.4092,98.46,49,1,19.06,clear sky
255,San Francisco De Macoris,DO,19.2952,-70.2554,88.48,45,53,8.55,broken clouds
256,Port Lincoln,AU,-34.7333,135.8667,50.54,75,87,6.98,overcast clouds
257,Fallon,US,39.4735,-118.7774,86.45,9,56,2.84,broken clouds
258,Pacific Grove,US,36.6177,-121.9166,78.15,91,90,1.01,overcast clouds
259,Wewak,PG,-3.5534,143.6268,79.18,84,100,3.91,overcast clouds
260,Mehamn,NO,71.0357,27.8492,49.69,90,86,13.24,overcast clouds
261,Somotillo,NI,13.0433,-86.9064,91.54,33,10,7.07,clear sky
262,Mtwara,TZ,-10.2667,40.1833,74.53,73,75,13.8,broken clouds
263,La Ronge,CA,55.1001,-105.2842,52.05,71,90,11.5,smoke
264,Corning,US,42.1428,-77.0547,84.69,78,75,6.91,broken clouds
265,Mbale,UG,1.0821,34.175,68.65,74,100,4.99,overcast clouds
266,Yukhnov,RU,54.7444,35.2297,71.08,87,44,1.45,scattered clouds
267,Krasnoselkup,RU,65.7,82.4667,50.09,76,97,5.39,overcast clouds
268,Pontal Do Parana,BR,-25.6533,-48.5128,79.74,77,27,5.7,scattered clouds
269,Mildura,AU,-34.2,142.15,42.76,93,23,6.91,few clouds
270,Sorab,IN,14.3833,75.1,71.87,96,100,7.2,heavy intensity rain
271,Ketchikan,US,55.3422,-131.6461,60.96,77,99,0.76,overcast clouds
272,Chingola,ZM,-12.529,27.8838,63.23,44,87,2.84,overcast clouds
273,Trairi,BR,-3.2778,-39.2689,84.51,62,99,12.91,overcast clouds
274,Seoul,KR,37.5683,126.9778,78.4,83,40,3.44,scattered clouds
275,Abha,SA,18.2164,42.5053,73.22,46,40,9.22,scattered clouds
276,Ucluelet,CA,48.9329,-125.5528,66.04,93,100,2.64,overcast clouds
277,Byron Bay,AU,-28.65,153.6167,57.87,55,30,10.0,scattered clouds
278,Kharan,PK,28.5833,65.4167,95.68,37,60,6.78,broken clouds
279,Baft,IR,29.234,56.6057,70.77,60,90,1.19,overcast clouds
280,Colesberg,ZA,-30.72,25.0972,45.93,36,0,3.67,clear sky
281,Sur,OM,22.5667,59.5289,85.5,71,5,20.51,clear sky
282,Barrow,US,71.2906,-156.7887,48.22,92,90,16.11,light rain
283,Akdepe,TM,42.0551,59.3788,86.0,19,0,12.39,clear sky
284,Road Town,VG,18.4167,-64.6167,86.04,74,75,8.05,broken clouds
285,Mahebourg,MU,-20.4081,57.7,71.89,68,40,13.8,light rain
286,Matay,EG,28.419,30.7792,95.79,17,5,6.6,clear sky
287,Port Keats,AU,-14.25,129.55,73.38,39,74,10.02,broken clouds
288,Buraydah,SA,26.326,43.975,104.45,15,99,15.99,overcast clouds
289,Grand-Santi,GF,4.25,-54.3833,89.01,52,90,3.49,overcast clouds
290,Manzanillo,CU,20.3433,-77.1167,90.68,52,38,5.19,scattered clouds
291,Kalianget,ID,-7.05,113.9333,79.47,74,79,9.17,broken clouds
292,Aksu,CN,41.1231,80.2644,77.92,41,100,12.08,overcast clouds
293,Pangnirtung,CA,66.1451,-65.7125,55.4,76,90,6.91,overcast clouds
294,Bethel,US,41.3712,-73.414,93.02,70,80,3.74,broken clouds
295,North Bend,US,43.4065,-124.2243,70.92,73,2,9.06,clear sky
296,Hofn,IS,64.2539,-15.2082,55.45,74,33,8.81,scattered clouds
297,Mariakani,KE,-3.8633,39.4736,75.29,83,97,11.86,overcast clouds
298,San Policarpo,PH,12.1791,125.5072,79.16,88,99,5.84,overcast clouds
299,Mandurah,AU,-32.55,115.7,56.21,76,39,7.74,scattered clouds
300,Kudahuvadhoo,MV,2.6708,72.8944,83.16,73,60,10.13,broken clouds
301,Tiksi,RU,71.6872,128.8694,37.4,78,99,11.99,overcast clouds
302,Mokrousovo,RU,55.8103,66.7653,61.59,67,56,5.95,broken clouds
303,Bull Savanna,JM,17.8868,-77.5902,85.42,62,60,17.45,broken clouds
304,Tonj,SS,7.2737,28.6822,72.32,90,57,4.38,light rain
305,Diffa,NE,13.3154,12.6113,83.88,60,79,4.38,broken clouds
306,Farmington,US,36.7281,-108.2187,88.77,32,91,5.99,overcast clouds
307,Manggar,ID,-2.8833,108.2667,80.17,82,73,10.36,broken clouds
308,Rio Grande,BR,-32.035,-52.0986,62.71,66,7,16.64,clear sky
309,Casian,PH,11.035,119.7136,81.72,82,100,13.38,overcast clouds
