City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Road Town,VG,86.04,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
289,Grand-Santi,GF,89.01,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
291,Kalianget,ID,79.47,broken clouds,-7.05,113.9333,Pesanggrahan Garam
292,Aksu,CN,77.92,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
297,Mariakani,KE,75.29,overcast clouds,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
298,San Policarpo,PH,79.16,overcast clouds,12.1791,125.5072,JM Lodge
300,Kudahuvadhoo,MV,83.16,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
303,Bull Savanna,JM,85.42,broken clouds,17.8868,-77.5902,Big Red's
305,Diffa,NE,83.88,broken clouds,13.3154,12.6113,ProDAF/Diffa
306,Farmington,US,88.77,overcast clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
307,Manggar,ID,80.17,broken clouds,-2.8833,108.2667,Guest Hotel
310,Akyab,MM,81.41,overcast clouds,20.15,92.9,Hotel Memory
325,Isla Mujeres,MX,84.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
326,Kapuskasing,CA,80.69,smoke,49.4169,-82.4331,Park Inn Motel
328,Bodden Town,KY,88.99,scattered clouds,19.2833,-81.25,Will T Place
333,Huixtla,MX,88.79,broken clouds,15.15,-92.4667,Rocky Point Sonoran Sky
337,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
341,Prainha,BR,87.3,few clouds,-1.8,-53.48,Casa Rocha
342,Peachland,CA,77.14,few clouds,49.7665,-119.7357,Wine Stopper B&B
347,Gerash,IR,84.34,broken clouds,27.6652,54.1371,Sa'adat House
348,Marquette,US,80.37,clear sky,46.5333,-87.6335,Al Quaal Lodge
351,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
352,Middletown,US,82.26,broken clouds,39.5151,-84.3983,Center of Hope for Women and Children
353,Dingle,PH,76.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
355,Naze,JP,78.49,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
362,Beba,CU,87.51,clear sky,22.4437,-79.7253,Hostal Cubaustria
363,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
371,Hamilton,US,82.36,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
374,Ravar,IR,89.1,overcast clouds,31.2656,56.8055,computertik
381,Careiro Da Varzea,BR,88.41,few clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
384,Bismarck,US,88.88,clear sky,46.8083,-100.7837,Ramkota Hotel & Conference Center
385,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
386,Vallenar,CL,81.88,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
388,Rapid City,US,89.73,clear sky,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
394,Katsuura,JP,78.12,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
395,Kampong Cham,KH,77.54,overcast clouds,11.9934,105.4635,7 Makara Hotel
396,Peniche,PT,81.88,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
397,Abasolo,MX,77.4,overcast clouds,20.45,-101.5167,Hotel y Parque Acuático La Caldera
398,Wukari,NG,77.79,overcast clouds,7.85,9.7833,Elimtop
400,Sorong,ID,78.57,overcast clouds,-0.8833,131.25,waigo splash hotel
402,Puerto Narino,CO,75.15,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
404,Tanda,IN,80.85,overcast clouds,26.55,82.65,MUMTAZ GANJ TANDA
405,Oistins,BB,81.34,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
406,Brindisi,IT,76.96,scattered clouds,40.5833,17.6667,Agriturismo Tibitone
409,Liverpool,GB,84.15,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
412,Mweka,CD,77.67,overcast clouds,-4.85,21.5667,Guest House Boshab
413,Sola,VU,80.62,few clouds,-13.8833,167.55,Leumerus Bungalows
414,San Cristobal,VE,79.97,light rain,7.7669,-72.225,Posada Villaven C.A.
416,Thunder Bay,CA,80.58,smoke,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
417,Emborion,GR,84.31,broken clouds,40.4833,21.55,Villa Kastanodasos
418,Panama City,PA,87.75,thunderstorm,8.9936,-79.5197,Hotel Riande Granada Urban
420,Cockburn Town,TC,81.84,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
421,Moberly,US,81.05,scattered clouds,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
425,Kristinehamn,SE,78.78,clear sky,59.3098,14.1081,Hotell Marieberg
426,Mlonggo,ID,78.53,overcast clouds,-6.5333,110.7,Asia Metal Art
427,Rassvet,RU,85.57,clear sky,46.8333,40.75,Gostinitsa
430,Wajima,JP,76.78,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
434,Asau,RO,81.52,clear sky,46.4333,26.4,Casa Mika Ciobanus
436,Cosmopolis,BR,75.2,broken clouds,-22.6458,-47.1961,OYO HOTEL COSMÓPOLIS
437,Broome,US,83.17,overcast clouds,42.2506,-75.833,Chenango Valley State Park
438,Khuzdar,PK,86.04,scattered clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
439,Namatanai,PG,79.07,light rain,-3.6667,152.4333,Seagulls Inn Namatani
441,Itarema,BR,85.41,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
442,Portales,US,88.11,broken clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
443,Kahului,US,77.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
448,Baculin,PH,78.98,overcast clouds,7.4525,126.5842,Shovy's Cove
449,Impfondo,CG,80.2,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
453,Meulaboh,ID,76.42,scattered clouds,4.1363,96.1285,Kost Pria
454,Tuxpan,MX,75.65,overcast clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
456,Salalah,OM,77.45,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
457,Narasannapeta,IN,82.22,overcast clouds,18.4167,84.05,G.lingaraju home
461,Salvador,SV,84.06,clear sky,13.8333,-88.9167,Chico's Ranch
463,Korla,CN,83.59,scattered clouds,41.7597,86.1469,Gulisitan Hotel
465,La Rioja,ES,83.05,clear sky,42.25,-2.5,Casa Concejos
467,Nesoddtangen,NO,80.71,scattered clouds,59.8655,10.6594,Quality Hotel Expo
472,Port Blair,IN,80.69,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
476,Erzin,TR,84.72,clear sky,36.9559,36.2,Artemis Otel
477,Nishihara,JP,81.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
481,Char Bhadrasan,BD,82.45,overcast clouds,23.3167,90.2167,মা টেলিকম এন্ড লাইব্রেরী 🇧🇩🇧🇩🇧🇩🇧🇩
483,Goderich,CA,75.2,overcast clouds,43.7501,-81.7165,Harmony Inn
484,Bluefield,US,81.95,broken clouds,37.2698,-81.2223,Economy Inn
486,Sabang,ID,82.81,broken clouds,5.8933,95.3214,Hotel Citra
487,Eyl,SO,78.8,overcast clouds,7.9803,49.8164,Amiin Hotel
494,Tecoanapa,MX,85.89,broken clouds,16.5167,-98.75,Hotel Manglares
497,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
498,Miri,MY,77.79,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
499,Norsup,VU,78.67,few clouds,-16.0667,167.3833,Nabelchel Bungalows
500,Panlaitan,PH,81.81,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
505,Plouzane,FR,78.89,clear sky,48.3833,-4.6167,Carrefour Voyages Plouzané
506,Bereda,ES,89.58,clear sky,43.2686,-7.5406,Pazo de Verdes
514,Sioux Lookout,CA,84.27,smoke,50.1001,-91.917,Knobby's Fly-In Camps
518,Chernogolovka,RU,79.21,broken clouds,56.0,38.3667,Gostinitsa
524,Warren,US,81.66,overcast clouds,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
525,Bourg-En-Bresse,FR,76.3,few clouds,46.1667,5.1667,Chambres d'Hôtes Grange Carrée
526,Prescott,US,80.38,broken clouds,34.54,-112.4685,Prescott Resort & Conference Center
529,Norrtalje,SE,80.69,few clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
